MaleID,TroopID,Year,Sample_Length,Foraging,Season,Consort,OSR
1,1,2004,1211,0,Long,No,0.83
4,1,2004,1204,1177,Long,No,0.83
7,1,2004,1204,1192,Long,No,0.83
11,1,2004,1203,943,Long,No,0.83
1,1,2004,1203,1167,Long,No,0.83
4,1,2004,1201,1159,Long,No,0.83
8,1,2004,1200,378,Long,No,0.83
9,1,2004,1205,182,Long,No,0.67
1,1,2004,1205,467,Long,No,0.67
7,1,2004,1074,799,Long,No,0.67
4,1,2004,949,167,Long,No,0.67
1,1,2004,1203,123,Long,No,0.67
7,1,2004,1214,1214,Long,No,0.67
4,1,2004,1207,204,Long,No,0.67
9,1,2004,1204,1204,Long,No,1.33
4,1,2004,1205,834,Long,No,1.33
7,1,2004,1204,1204,Long,No,1.33
8,1,2004,1202,944,Long,No,1.33
1,1,2004,1203,0,Long,No,1.33
7,1,2004,1201,1201,Long,No,1.33
9,1,2004,1207,757,Long,No,1.33
4,1,2004,1205,1016,Long,No,1.33
1,1,2004,1204,327,Long,No,1.33
8,1,2004,1202,1132,Long,No,1.33
